"id","productId","code","name","days","limited","fup","data","dailyDataCap","reducedSpeed","price","reloadable","countryCodes","networks","networkSpeed","apn","hotspot","activation","delivery","seoText","planType","localNumber","eKYC","uniqueName","isPopular","supplier"
"19294","WM-e-TW-T5-15D","LeSIM-20040015","Taiwan","15","true","5 GB","5","","128","152","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t5-15d-taiwan-15-5-gb","false","WM"
"19295","WM-e-TW-T5-30D","LeSIM-20040030","Taiwan","30","true","5 GB","5","","128","160","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t5-30d-taiwan-30-5-gb","false","WM"
"19296","WM-e-TW-T3-3D","LeSIM-20050003","Taiwan","3","true","3 GB","3","","128","84","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t3-3d-taiwan-3-3-gb","false","WM"
"19297","WM-e-TW-T3-5D","LeSIM-20050005","Taiwan","5","true","3 GB","3","","128","94","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t3-5d-taiwan-5-3-gb","false","WM"
"19298","WM-e-TW-T3-7D","LeSIM-20050007","Taiwan","7","true","3 GB","3","","128","102","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t3-7d-taiwan-7-3-gb","false","WM"
"19299","WM-e-TW-T3-10D","LeSIM-20050010","Taiwan","10","true","3 GB","3","","128","110","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t3-10d-taiwan-10-3-gb","false","WM"
"19300","WM-e-TW-T3-15D","LeSIM-20050015","Taiwan","15","true","3 GB","3","","128","118","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t3-15d-taiwan-15-3-gb","false","WM"
"19301","WM-e-TW-T3-30D","LeSIM-20050030","Taiwan","30","true","3 GB","3","","128","126","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t3-30d-taiwan-30-3-gb","false","WM"
"19302","WM-e-CHM-T3-3D","LeSIM-10230003","China, Hong Kong, Macao","3","true","3 GB","3","","128","110","false","[""CN"",""HK"",""MO""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chm-t3-3d-china-hong-kong-macao-3-3-gb","false","WM"
"19303","WM-e-CHM-T3-5D","LeSIM-10230005","China, Hong Kong, Macao","5","true","3 GB","3","","128","118","false","[""CN"",""HK"",""MO""]","[""China Unicom (China)"",""CSL (Hong Kong)"",""CTM (Macau)""]","5G/4G","mobile","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-chm-t3-5d-china-hong-kong-macao-5-3-gb","false","WM"
